team,count
Aperture,125
Manatee,125
Gux & Friends,125
ZDM,125
ex-Epsilon,125
NOBO,125
inchk1ng,125
ex-Athletico,125
Bizarre,124
Elite Wolves,124
Supremacy,124
NOVA,120
ArkAngel,120
Funkd,120
adwokacik,120
Andes,120
neXtPlease!,120
Riotous,120
Norse,120
h00liGaNz,120
Morior Invictus,120
hREDS,120
Naventic,120
HEY,120
2990,120
Forge,115
Iwku,115
RvN,115
Dead Pixels,115
XCN,115
BLITZKRIEG,115
Unity,115
exceL,115
Evidence,115
Good People,114
ESC,113
Atlants,110
Downfall,110
Akopalipsa,110
Apeks,110
RAVE,110
3sUP,110
Sabertooth,110
GamePub,110
TOXIC,110
Alpha Sydney,110
FrenchFrogs,110
Games Academy,110
HWML,110
HEXAGONE,110
Uruguay,110
Locastic,110
Astral Influence,110
AUGUST,110
Juggernauts,110
volgare,109
Bajini Puleni,105
eEriness,105
NYYRIKKI,105
expert fe,105
Chris and the boys,105
DeToNator,105
LGB fe,105
FURY,105
wNv,105
Tectonic,105
OG,105
ex-3DMAX,105
SHIFT,105
Inflames,105
Yalla,105
Triumph,105
MAXISAUCISSE,105
Platinium,104
Glockoma,104
Alma,104
Eastern Vikings,104
Argentina,103
Sweden,100
Red Instinct,100
STREAMLINE,100
Dracarys,100
The Entourage,100
Pnda,100
ENZO,100
nEophyte,100
KKona,100
ANTI ECO,100
R-Stars,100
mCon,100
Evilvice,100
PAPERPLANES,100
Incept,100
ENCORE,100
No Tenemos Nada,100
tomorrow will be better,100
ex-Velocity,100
France,99
Falkol,99
ACE,99
Rebels,98
Besiktas,95
Energy Pacemaker,95
seven,95
Belgium,95
Recon 5,95
SKDC,95
ex-Synthetik,95
ex-Atmosphere,95
carboN,95
Panda,95
demise,95
8EASY,95
Arena Bulls,95
proWince,95
T5,95
Salamander,95
Vexilla,95
Wololos,95
Sinisters,95
Kungar,95
ex-Genuine,95
T.O.T,95
Prophecy,95
Majestic Lions,95
Sinister5,95
Main Street,94
London Conspiracy,94
Viva Algeria,93
Recursive,90
Brewtopia,90
LDLC fe,90
Vindicta,90
ikarus,90
tomorrow,90
ahq,90
Global,90
Impossible,90
TShow,90
Nocturns,90
Orion,90
Really Old People,90
VeritasAequitas,90
Deathtrap,90
Spotnet,90
Tunisia,90
Galatics,90
Content,90
Insomnia,90
Justice,90
FYB,90
ROYALS,90
Merciless,90
Noble,88
Revoltz,88
Turkey,87
Uniquestars,85
Jordan's Money Crew,85
Broken Alliance,85
aimclub,85
Ambition,85
Without Warning,85
AEON,85
xTc,85
Imperio Multimedia,85
7642,85
K23,85
RESOLUTE,85
Lions,85
Premier Rejects,85
lol123,85
Quest,85
Enter,85
eXploit,85
teamasd,85
Avalanche,84
Netland,84
Airborne,84
PSYCHOACTIVE,80
MeMyself&I,80
IPET,80
EOX,80
Singapore,80
FTW,80
Virtual Genesis,80
Atmosphere,80
100 Thieves,80
Zoctai,80
EYESports,80
GameTV,80
Whatever It Takes,80
Vyalie Pitoni,80
Faint,80
OneWay,80
Stay Frosty,80
Ghost Academy,80
WG,80
RUFUS,80
Squirtle Squad,80
Those Damn Canadians,80
LaZe,80
ZOOWEEMAMA,80
Dragons,80
MAJESTY,80
Stormborns,80
Rooster,80
CAZ,80
Clutch Solutions,80
Down To Frag,80
Secret,80
